TIME,year,month,ES_onions,IT_onions,BEL_gdp,ITA_gdp,FRA_gdp,ESP_gdp,IRL_gdp,BEL_inflazione,ITA_inflazione,FRA_inflazione,ESP_inflazione,IRL_inflazione
2004-05-17,2004.0,5.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-05-24,2004.0,5.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-05-31,2004.0,5.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-06-07,2004.0,6.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-06-14,2004.0,6.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-06-21,2004.0,6.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-06-28,2004.0,6.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-07-05,2004.0,7.0,26.12,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-07-12,2004.0,7.0,26.41,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-07-19,2004.0,7.0,23.74,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-07-26,2004.0,7.0,21.45,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-02,2004.0,8.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-09,2004.0,8.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-16,2004.0,8.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-23,2004.0,8.0,19.52,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-08-30,2004.0,8.0,16.91,23.83,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-09-06,2004.0,9.0,17.51,23.33,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-09-13,2004.0,9.0,18.13,23.78,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-09-20,2004.0,9.0,21.94,24.0,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-09-27,2004.0,9.0,21.92,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-10-04,2004.0,10.0,20.2,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-10-11,2004.0,10.0,19.59,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-10-18,2004.0,10.0,18.57,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-10-25,2004.0,10.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-11-01,2004.0,11.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-11-08,2004.0,11.0,18.57,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-11-15,2004.0,11.0,18.57,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-11-22,2004.0,11.0,18.57,20.89,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-11-29,2004.0,11.0,18.57,22.0,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-12-06,2004.0,12.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-12-13,2004.0,12.0,,21.67,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-12-20,2004.0,12.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,2.20673661423657,2.14208964640241,3.03924881090925,2.19962850718545
2004-12-27,2004.0,12.0,,,35429.40779333441,31317.20079432963,33797.16244184357,24907.00085058565,47754.202319424396,2.09728311239314,,2.14208964640241,3.03924881090925,2.19962850718545
2005-01-03,,,,21.93,,,,,,,,,,
